id;numero_chambre;localisation_chambre;nombreb_lit;prix_chambre
1;Dollar Optimized;Self-enabling Stagiaire Steel;38438;87840
2;compressing Manager;compressing incubate;94865;20423
3;throughput Avon;copy quantify backing;17527;78194
4;system paradigms Mouse;pixel;58922;53926
5;Bedfordshire Keyboard;digital Pizza;62113;50847
6;to;b evolve Escudo;7363;73336
7;Home c;engine whiteboard Balanced;46335;27429
8;Grenade des system;sensor toolset;85792;30948
9;cohesive robust;Sports bricks-and-clicks infrastructure;2061;78725
10;Self-enabling;B2B;96872;12114
