id;nom_examen;type_examen;date_examen
1;benchmark;Persevering payment Manager;2022-05-16T13:47:05
2;port visionary;reboot;2022-05-16T18:29:58
3;Netherlands implementation;microchip Developpeur;2022-05-16T17:37:45
4;microchip;Industrial b c;2022-05-16T13:07:26
5;Toys sticky;Computer access responsive;2022-05-16T10:13:27
6;la Bacon Bike;Avon;2022-05-16T16:15:14
7;Jamaïque real-time;transmit withdrawal;2022-05-16T23:26:00
8;Saint-Séverin b technologies;scalable payment PNG;2022-05-16T11:27:35
9;programming Seine Fresh;de yellow calculate;2022-05-16T20:34:44
10;array Seine;Baby virtual;2022-05-16T14:20:28
