id;nom_maladie;famille_maladie;description_maladie
1;Metal copy;withdrawal;Granite
2;convergence Sharable;navigate Bretagne;payment exploit
3;incremental;c Administrateur;transitional panel reboot
4;transmit Cambridgeshire override;deposit transmitting;end-to-end unleash
5;navigating Frozen;Up-sized b incubate;USB
6;generation;Tasty Market;Towels
7;Irak;Re-contextualized;Multi-layered
8;Car de b;Soft Dalasi;input
9;Granite Victoire;Aquitaine;Qatari b engineer
10;du Fresh Switchable;Table Movies;transitional
